Name,Price,Make,Model,Year,Condition,Transmission,Exchange,Fuel Type,BodyType,Location,Mileage
ToyKisumu,"1,000,000",ToyKisumu,Camry,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,100421
TOYKisumu ,"1,000,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,1000
ToyKisumu,"1,000,000",ToyKisumu,Corolla,2004,Kenyan Used,Automatic,,Petrol,,Eldoret,124331
ToyKisumu camry,"1,000,000",ToyKisumu,Camry,2004,Kenyan Used,Automatic,,Petrol,,Nairobi,10788
ToyKisumu corolla le,"1,000,000",ToyKisumu,Camry,2004,Kenyan Used,Automatic,,Petrol,,Machakos,10755
foreign used Lexus Rx350 2010 Model for sale,"1,200,000",Lexus,RX,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,236512
Clean ToyKisumu Corolla Sport 2004,"1,100,000",ToyKisumu,Corolla,2004,Kenyan Used,Automatic,,Petrol,,Nairobi,49573
ToyKisumu_Camry 2009,"3,200,000",ToyKisumu,Camry,2009,Kenyan Used,Automatic,,Petrol,,Eldoret,49573
2008 Lexus ES 350 3.5L FWD Red For Sale.,"2,950,000",Lexus,ES,2008,Kenyan Used,Automatic,,Petrol,,Eldoret,66902
ToyKisumu,"1,000,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Nairobi,231452
2012 BMW X6 Silver Available,"2,700,000",BMW,X6,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,89610
2012 BMW X6 Supper White,"2,650,000",BMW,X6,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,74512
2013 BMW X6 Red Color,"2,750,000",BMW,X6,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,85100
Lexus,"3,200,000",Lexus,IS,2006,Kenyan Used,Automatic,,Petrol,,Surulere,65000
ToyKisumu,"1,700,000",ToyKisumu,Corolla,2003,Kenyan Used,Automatic,,Petrol,,Mombasa,102000
ToyKisumu Camry,"1,350,000",ToyKisumu,Highlander,2001,Kenyan Used,Automatic,,Petrol,,Machakos,241000
ToyKisumu Highlander ,"2,500,000",ToyKisumu,Highlander,2005,Kenyan Used,Automatic,,Petrol,,Machakos,12400
2017 Model ToyKisumu sienna for sale,"5,500,000",ToyKisumu,Sienna,2002,Kenyan Used,Automatic,,Petrol,,Kisumu,25400
CLEAN TOYKisumu CAMRY TOKUNBO ,"1,200,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,180
ToyKisumu Corolla for sale,"1,150,000",ToyKisumu,Corolla,2004,Kenyan Used,Automatic,,Petrol,,Kisumu,180
ToyKisumu Corolla for sale,"1,150,000",ToyKisumu,Corolla,2004,Kenyan Used,Automatic,,Petrol,,Kisumu,180
ToyKisumu Corolla for sale,"1,250,000",ToyKisumu,Corolla,2004,Kenyan Used,Automatic,,Petrol,,Kisumu,16730
ToyKisumu,"1,000,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,1000
Lexus,"1,000,000",Lexus,RX,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,1000
ToyKisumu,"1,000,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,1000
2012 MERCEDES BENZ E350 FOR SALE,"1,450,000",Mercedes,E -class,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,47
CLEAN MERCEDES BENZ E350,"1,350,000",Mercedes,E -class,2002,Kenyan Used,Automatic,,Petrol,,Mombasa,86
2018 Lexus GX460 Available Grey,"3,950,000",Lexus,GX,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,63100
2008 toyKisumu sienna,"1,250,000",ToyKisumu,Sienna,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,87
2008 toyKisumu sienna,"1,350,000",ToyKisumu,Sienna,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,85
2008 toyKisumu sienna,"1,500,000",ToyKisumu,Sienna,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,84
2013 ToyKisumu Tacoma Tokunbo For Sale,"2,500,000",ToyKisumu,Tacoma,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,96310
2007 Lexus Gx470 Extremely Clean Registered,"1,350,000",Lexus,GX,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,79631
Volkswagen Transporter Blue,"1,000,000",Volkswagen,Transporter,2003,Kenyan Used,Manual,,Petrol,,Nairobi,74120
Volkswagen Transporter Available Now,"1,000,000",Volkswagen,Transporter,2003,Kenyan Used,Manual,,Petrol,,Nairobi,65000
2007 ToyKisumu Sienna Grey ,"1,000,000",ToyKisumu,Sienna,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,63200
Foreign Used 2007 Mercedes R350 4matic,"1,150,000",Mercedes,R -class,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,85120
2013 ToyKisumu Venza Mint Black,"1,700,000",ToyKisumu,Venza,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,96123
Jeep Compas 2014 Limited Edition,"1,250,000",Jeep,Compass,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,71420
BMW X6 Wine Available 2010 Model ,"2,100,000",BMW,X6,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,74110
Mercedes Benz CLS silver Registered,"1,650,000",Mercedes,CLS -class,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,89631
2011 Mercedes Benz GLK350 Mint Black,"2,780,000",Mercedes,GLK -class,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,75321
2008 ToyKisumu Matrix xr Mint Black Reg,"1,000,000",ToyKisumu,Matrix,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,71410
2012 lexus es 350  very neat,"1,200,000",Lexus,ES,2002,Kenyan Used,Automatic,,Petrol,,Alakahia,123456
Clean ToyKisumu Corolla Sport 2004,"1,100,000",ToyKisumu,Corolla,2004,Kenyan Used,Automatic,,Petrol,,Nairobi,67891
2011 lexus es 350 very neat,"1,200,000",Lexus,ES,2003,Kenyan Used,Automatic,,Diesel,,Meru,123456
2012 lexus es 350 very neat,"1,200,000",Lexus,ES,2002,Kenyan Used,Automatic,,Petrol,,Meru,123456
Mercedes Benz GLC300 Silver ,"4,950,000",Mercedes,GL -class,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,74120
Lexus RX400 Silver Available Now,"1,000,000",Lexus,RX,2003,Kenyan Used,Automatic,,Petrol,,Mombasa,71000
Clean Title Lexus GX460 White ,"3,500,000",Lexus,GX,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,96310
2008 TOYKisumu CAMRY SPORT ,"1,450,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,100
TOK TOYKisumu CAMRY SPORT 2008,"1,450,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Mombasa,80
2008 JUST ARRIVED TOYKisumu CAMRY LE,"1,350,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,85
JUST ARRIVED TOYKisumu CAMRY LE,"1,280,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,28
CLEAN TOYKisumu CAMRY XLE 2008,"1,450,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,47
2008 TOYKisumu CAMRY XLE,"1,200,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,38
2008 TOYKisumu CAMRY XLE,"1,200,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,80
JUST ARRIVED TOYKisumu CAMRY LE,"1,250,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,47
Clean ToyKisumu Highlander V6 2012 Model,"2,350,000",ToyKisumu,Highlander,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,85210
ToyKisumu Venza 2009 V6 Red,"5,700,000",ToyKisumu,Venza,2009,Kenyan Used,Automatic,,Petrol,,Eldoret,85210
TOYKisumu SIENNA FOR SALE,"1,000,000",ToyKisumu,Sienna,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,100
2008 TOYKisumu SIENNA,"1,200,000",ToyKisumu,Sienna,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,47
CLEAN TOYKisumu SIENNA FOR SALE,"1,000,000",ToyKisumu,Sienna,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,50
2007 TOYKisumu SIENNA,"1,100,000",ToyKisumu,Sienna,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,70
2007 TOYKisumu SIENNA,"1,000,000",ToyKisumu,Sienna,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,76
2007 CLEAN TOYKisumu SIENNA FOR SALE,"1,450,000",ToyKisumu,Sienna,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,80
ToyKisumu Camry,"3,800,000",ToyKisumu,Camry,2013,Kenyan Used,Automatic,,Petrol,,Mombasa,12886
CLEAN 2005 TOYKisumu SIENNA,"1,350,000",ToyKisumu,Sienna,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,32
2006 TOYKisumu SIENNA FOR SALE,"1,280,000",ToyKisumu,Sienna,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,90
TOYKisumu SIENNA FOR SALE 2006,"1,350,000",ToyKisumu,Sienna,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,80
TOYKisumu SIENNA FOR SALE,"1,000,000",ToyKisumu,Sienna,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,100
2003 CLEAN TOYKisumu SIENNA FOR SALE,"1,200,000",ToyKisumu,Sienna,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,120
ToyKisumu sienna for sale,"1,150,000",ToyKisumu,Sienna,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,100
CLEAN 2003 TOYKisumu SIENNA,"1,250,000",ToyKisumu,Sienna,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,100
2005 toyKisumu camry for sale,"1,300,000",ToyKisumu,Camry,2003,Kenyan Used,Automatic,,Petrol,,Nakuru,56894
2005 toyKisumu matrix for sale,"1,300,000",ToyKisumu,Matrix,2003,Kenyan Used,Automatic,,Petrol,,Nakuru,47963
2003 toyKisumu camry for sale,"1,200,000",ToyKisumu,Matrix,2002,Kenyan Used,Automatic,,Petrol,,Nakuru,89653
2004 honda accord,"1,100,000",Honda,Accord,2001,Kenyan Used,Automatic,,Petrol,,Nakuru,45673
TOK HONDA CIVIC FOR SALE,"1,250,000",Honda,Civic,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,90
2003 HONDA CIVIC FOR SALE,"1,000,000",Honda,Civic,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,30
TOK HONDA CIVIC FOR SALE,"1,130,000",Honda,Civic,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,65
2003 CLEAN HONDA CIVIC FOR SALE,"1,300,000",Honda,Civic,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,70
TOYKisumu CAMRY FOR SALE,"1,150,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,80
2003 TOYKisumu CAMRY FOR SALE,"1,250,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,65
ToyKisumu camry SE ,"1,000,000",ToyKisumu,Camry,2004,Kenyan Used,Automatic,,Petrol,,Nairobi,85854
ToyKisumu sienna,"1,000,000",ToyKisumu,Sienna,2004,Kenyan Used,Automatic,,Petrol,,Nakuru,13874
Lexus ES ,"1,000,000",Lexus,ES,2004,Kenyan Used,Automatic,,Petrol,,Meru,10756
ToyKisumu camry ,"1,000,000",ToyKisumu,Camry,2003,Kenyan Used,Automatic,,Petrol,,Meru,10455
FOREIGN USED TOYKisumu CAMRY FULL OPTION,"1,000,000",ToyKisumu,Camry,2004,Kenyan Used,Automatic,,Petrol,,Meru,10755
very neat and sound HONDA ACCORD full option ,"1,000,000",Honda,Accord,2004,Kenyan Used,Automatic,,Petrol,,Machakos,107975
2008 ToyKisumu Camry very neat ,"1,100,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Thika,123456
2005 Model Hummer H3 SUV For sale,"2,500,000",Hummer,H3,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,25400
Very Clean Acura TL 2010 Model for Sale,"1,450,000",Acura,TL,2002,Kenyan Used,Automatic,,Petrol,,Meru,12000
2012 Model toyKisumu sienna ,"1,800,000",ToyKisumu,Sienna,2002,Kenyan Used,Automatic,,Petrol,,Meru,3000
2014 Model toyKisumu sienna,"2,600,000",ToyKisumu,Sienna,2008,Kenyan Used,Automatic,,Petrol,,Mombasa,3500
2002 toyKisumu picnic,"1,000,000",ToyKisumu,Picnic,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,87
2003 toyKisumu picnic,"1,000,000",ToyKisumu,Picnic,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,86
2008 ToyKisumu Sienna very neat ,"1,200,000",ToyKisumu,Sienna,2002,Kenyan Used,Automatic,,Petrol,,Thika,123456
2005 toyKisumu picnic,"1,000,000",ToyKisumu,Picnic,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,84
2004 toyKisumu picnic,"1,000,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,85
Neat 2019 Range rover for sale,"4,500,000",Land rover,Range Rover,2002,Kenyan Used,Automatic,,Petrol,,Thika,145235
 sharp 2006 MERCEDES-BENZ ML 350,"2,900,000",Mercedes,ML -class AMG,2002,Kenyan Used,Automatic,,Petrol,,Thika,159152
Clean 2006 mercedes benz ML350 for sale,"3,000,000",Mercedes,ML -class AMG,2002,Kenyan Used,Automatic,,Petrol,,Thika,158195
Neat 2011 Mercedes benz GLK 350,"1,500,000",Mercedes,GLK -class,2004,Kenyan Used,Automatic,,Petrol,,Mombasa,54800
2006 toyKisumu corolla,"1,100,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,82
2006 toyKisumu corolla sport,"1,100,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,79
2006 toyKisumu corolla sport,"1,100,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,77
2006 toyKisumu corolla sport,"1,100,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,82
2006 toyKisumu corolla sport,"1,100,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,78
2005 toyKisumu camry,"1,100,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,87
2006 toyKisumu camry,"1,100,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,84
2006 ToyKisumu Camry,"1,200,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,85
2005 toyKisumu camry,"1,100,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,82
2006 toyKisumu camry,"1,150,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,83
2010 lexus rx350,"2,500,000",Lexus,RX,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,86
2005 lexus rx300,"1,450,000",Lexus,RX,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,84
Clean tokumbo Lexus es 330,"1,000,000",Lexus,ES,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,98
2003 lexus rx300,"1,500,000",Lexus,RX,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,86
2008 toyKisumu 4runner,"2,250,000",ToyKisumu,4runner,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,84
2008 toyKisumu 4runner ,"2,300,000",ToyKisumu,4runner,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,86
2009 toyKisumu camry,"1,250,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,85
2008 toyKisumu camry,"1,250,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,83
2010 toyKisumu camry,"1,350,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,85
2008 toyKisumu camry,"1,300,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,86
2008 toyKisumu camry,"1,300,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,87
2010 toyKisumu camry,"1,350,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,85
TOYKisumu COROLLA ,"1,000,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,1000
2010 toyKisumu corolla,"1,300,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,83
2010 toyKisumu corolla,"1,250,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,86
2010 toyKisumu corolla,"1,300,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,83
2010 toyKisumu corolla,"1,300,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,85
2008 toyKisumu corolla,"1,500,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,84
TOYKisumu AVENZA ,"1,500,000",ToyKisumu,Avanza,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,1000
2006 toyKisumu corolla,"1,250,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,86
ToyKisumu camry 2008,"1,400,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,86
TOYKisumu HIGHLANDER ,"2,000,000",ToyKisumu,Highlander,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,1000
TOYKisumu AVENZA ,"1,500,000",ToyKisumu,Avanza,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,2000
2005 toyKisumu corolla,"1,300,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,87
TOYKisumu SIENNA ,"1,000,000",ToyKisumu,Sienna,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,1000
VOLKSWAGEN GOLF ,"1,000,000",Volkswagen,Golf,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,1000
2004 toyKisumu corolla,"1,250,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,82
TOYKisumu PICNIC ,"1,000,000",ToyKisumu,Picnic,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,1000
HONDA ACCORD ,"1,000,000",Honda,Accord,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,1000
LEXUS RX350 ,"1,600,000",Lexus,RX,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,1000
2004 toyKisumu corolla,"1,300,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,87
TOYKisumu HIACE ,"1,000,000",ToyKisumu,Hiace,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,1000
2008 toyKisumu rav4,"2,000,000",ToyKisumu,RAV4,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,87
LEXUS RX330 ,"1,100,000",Lexus,RX,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,1000
LEXUS RX300 ,"1,000,000",Lexus,RX,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,1000
2010 toyKisumu rav4,"2,300,000",ToyKisumu,RAV4,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,84
TOYKisumu COROLLA ,"1,100,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,1000
TOYKisumu CAMRY ,"1,000,000",ToyKisumu,Camry,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,1000
LEXUS ES 350 ,"1,500,000",Lexus,ES,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,1000
2010 toyKisumu rav4,"2,300,000",Lexus,ES,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,84
2005 lexus es300,"1,250,000",Lexus,ES,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,82
2009 lexus es350,"1,500,000",Lexus,ES,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,87
2005 lexus es330,"1,300,000",Lexus,ES,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,84
2005 lexus es330,"1,350,000",Lexus,ES,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,85
2005 lexus es330,"1,300,000",Lexus,ES,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,85
Clean tokumbo Lexus es 350 2009,"1,000,000",Lexus,ES,2002,Kenyan Used,Automatic,,Petrol,,Thika,70
2003 ToyKisumu Camry,"2,000,000",ToyKisumu,Camry,2003,Kenyan Used,Automatic,,Petrol,,Eldoret,45708
2010 lexus es350 ,"1,400,000",Lexus,ES,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,89
2008 lexus es350,"1,450,000",Lexus,ES,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,87
2003 ToyKisumu matrix,"1,400,000",ToyKisumu,Matrix,2003,Kenyan Used,Automatic,,Petrol,,Eldoret,45078
2003 lexus es300,"1,200,000",Lexus,ES,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,83
2005 lexus es330,"1,300,000",Lexus,ES,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,84
2010 lexus es350,"1,500,000",Lexus,ES,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,85
2007 Model ToyKisumu RAV4 XLE for sale,"2,950,000",ToyKisumu,RAV4,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,254000
2002 ToyKisumu venza,"1,500,000",ToyKisumu,Venza,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,27405
2002 ToyKisumu Sienna,"1,400,000",ToyKisumu,Sienna,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,25470
2014 CLEAN HONDA ACCORD FOR AUCTION ONLY,"1,450,000",Honda,Accord,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,100
CLEAN HONDA ACCORD FOR SALE,"1,380,000",Honda,Accord,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,100
2014 TOK HONDA ACCORD FOR SALE,"1,450,000",Honda,Accord,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,86
2014 HONDA ACCORD FOR AUCTION,"1,250,000",Honda,Accord,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,80
2014 TOK HONDA ACCORD FOR SALE,"1,350,000",Honda,Accord,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,27
2015 HONDA ACCORD FOR AUCTION ONLY,"1,650,000",Honda,Accord,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,23
2015 HONDA ACCORD FOR SALE,"1,350,000",Honda,Accord,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,36
CLEAN HONDA ACCORD FOR SALE,"1,450,000",Honda,Accord,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,100
Extremely CLEAN HONDA ACCORD,"1,380,000",Honda,Accord,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,47
CLEAN HONDA ACCORD FOR SALE,"1,450,000",Honda,Accord,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,86
2015 TOYKisumu COROLLA SPOT,"1,300,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,85
TOYKisumu COROLLA FOR SALE,"1,300,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,70
CLEAN TOYKisumu COROLLA FOR SALE,"1,320,000",ToyKisumu,Corolla,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,67
AVAILABLE FOR SALE LEXUS RX 350,"1,450,000",Lexus,RX,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,37
TOK LEXUS RX 350 FOR SALE,"1,350,000",Lexus,RX,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,47
TOK 2015 LEXUS RX 350 FOR SALE,"1,650,000",Lexus,RX,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,86
"2016 Model ToyKisumu RAV4 XLE for sale
","2,950,000",ToyKisumu,RAV4,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,254000
2018 Model ToyKisumu RAV4 for sale,"4,200,000",ToyKisumu,RAV4,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,254000
2019 Model ToyKisumu RAV4 XLE for sale,"8,500,000",ToyKisumu,RAV4,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,254000
2015 Model Nissan Pathfinder for sale,"2,600,000",Nissan,Pathfinder,2002,Kenyan Used,Automatic,,Petrol,,Kisumu,254000
Volkswagen beetle for sale,"1,000,000",Volkswagen,Beetle,2002,Kenyan Used,Manual,,Petrol,,Kisumu,152863
2014 Model Nissan Pathfinder for sale,"2,400,000",Nissan,Pathfinder,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,254000
Lexus RX350 Fully Loaded,"1,850,000",Lexus,RX,2003,Kenyan Used,Automatic,,Petrol,,Kisumu,40540
Lexus Rx350 Red Color ,"2,000,000",Lexus,RX,2003,Kenyan Used,Automatic,,Petrol,,Kisumu,88754
2016 TOYKisumu CAMRY BLUE,"2,800,000",ToyKisumu,Camry,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,63210
Peugeot 408 Available Now,"1,000,000",Peugeot,508,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,741558
TOYKisumu CAMRY 2018 Model,"2,350,000",ToyKisumu,Camry,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,96210
2016 Mercedes-benz GLE 450 Tokz,"3,950,000",Mercedes,G -class AMG,2003,Kenyan Used,Automatic,,Petrol,,Kisumu,524711
Neatly used 2016 ToyKisumu RAV4 for sale,"2,780,000",ToyKisumu,RAV4,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,71480
TOYKisumu Highlander 2016 Model,"3,500,000",ToyKisumu,Highlander,2003,Kenyan Used,Automatic,,Petrol,,Kisumu,87410
2012 ToyKisumu LandCruiser Prado Jeep,"2,500,000",ToyKisumu,Land Cruiser,2003,Kenyan Used,Automatic,,Petrol,,Kisumu,635865
2011 Hyundai Sonata Green Available Now,"1,000,000",Hyundai,Sonata,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,87410
Clean ToyKisumu  Corolla,"1,400,000",ToyKisumu,Corolla,2003,Kenyan Used,Automatic,,Petrol,,Eldoret,100888
TOYKisumu COROLLA 2011 Used,"1,000,000",ToyKisumu,Corolla,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,98410
"2010 Model Nissan Pathfinder SE

","2,500,000",Land rover,Range Rover,2002,Kenyan Used,Automatic,,Petrol,,Eldoret,254000
Neat 2006 mercedes benz ML350 4matic for sale,"2,500,000",Mercedes,ML -class AMG,2002,Kenyan Used,Automatic,,Petrol,,Thika,71000
2014 Model ToyKisumu Venza Limited Toks Fully Loaded,"1,000,000",ToyKisumu,Venza,2003,Kenyan Used,Automatic,,Petrol,,Kisumu,51470
2015 ToyKisumu Corolla Le Available Now,"1,950,000",ToyKisumu,Corolla,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,85401
Clean Pontiac vibe for sale,"1,405,000",Pontiac,Vibe,2003,Kenyan Used,Automatic,,Petrol,,Eldoret,108808
2008 Lexus Is250 Mint Black Color,"1,000,000",Lexus,IS,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,65120
2011 Hyundai Sonata Black,"1,000,000",Hyundai,Sonata,2003,Kenyan Used,Automatic,,Petrol,,Nairobi,51000
